GISJOIN.x,YEAR,STATE,STATEA,COUNTY.x,COUNTYA,TRACTA,BLKGRPA,NAME_E,ADQSE001,ADQSE002,ADQSE003,ADQSE004,ADQSE005,ADQSE006,ADQSE007,ADQSE008,ADQSE009,ADQSE010,ADQSE011,NAME_M,ADQSM001,ADQSM002,ADQSM003,ADQSM004,ADQSM005,ADQSM006,ADQSM007,ADQSM008,ADQSM009,ADQSM010,ADQSM011,hu40,hu70,hu80,hu90,hu00,hu10,j70,j80,j90,j00,j10,i70,i80,i90,i00,i10,adj40a,adj70a,adj80a,adj90a,adj00a,adj10a,FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,area,ham40,ham70,ham80,ham90,ham00,ham10,urb40,urb70,urb80,urb90,urb00,urb10
G13005100022003,2011-2015,Georgia,13,Chatham County,51,2200,3,"Block Group 3, Census Tract 22, Chatham County, Georgia",343,0,0,42,0,13,6,9,90,127,56,"Block Group 3, Census Tract 22, Chatham County, Georgia",80,13,13,37,13,15,10,14,55,77,32,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,282,288,301,301,343,152.40297653119634,403.454347826087,376.6613779833238,357.3094038459035,322.6715597711533,346.29394693200663,75660,13,51,2200,3,130510022003,454823,0,32.0555501,-81.0656245,3248.38097222,454822.994719,0.175608140038,867.8582695438705,2297.4695121694426,2144.8970298405175,2034.6972741046345,1837.4521801855547,1971.9697894247488,1,1,1,1,1,1
G13005100022004,2011-2015,Georgia,13,Chatham County,51,2200,4,"Block Group 4, Census Tract 22, Chatham County, Georgia",454,0,0,72,0,16,49,87,132,57,41,"Block Group 4, Census Tract 22, Chatham County, Georgia",108,13,13,66,13,19,45,68,77,43,48,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,317,366,382,382,454,111.58075067462589,453.5284690101758,478.673834520474,453.46243278782435,409.50344130425435,458.35991809659185,75661,13,51,2200,4,130510022004,609725,0,32.0489276,-81.072209,3370.05737963,609723.49243,0.235415556572,473.97356529622454,1926.5016960400733,2033.31437178866,1926.2211868701906,1739.491846958767,1947.0247623861087,1,1,1,1,1,1
G13005100022005,2011-2015,Georgia,13,Chatham County,51,2200,5,"Block Group 5, Census Tract 22, Chatham County, Georgia",337,0,0,0,7,6,17,97,67,82,61,"Block Group 5, Census Tract 22, Chatham County, Georgia",79,13,13,13,10,10,27,56,42,65,44,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,307,324,330,337,337,166.01038515005314,439.22157724329327,423.74405023123927,391.73456235597394,361.2635071191982,340.2363268690561,75662,13,51,2200,5,130510022005,258523,0,32.0497922,-81.0769737,2271.54642806,258522.504293,0.0998160969523,1663.1624579489016,4400.30807308753,4245.247642108643,3924.5630145524083,3619.2910577523226,3408.6318465412232,1,1,1,1,1,1
G13005100023001,2011-2015,Georgia,13,Chatham County,51,2300,1,"Block Group 1, Census Tract 23, Chatham County, Georgia",630,0,0,61,23,37,16,52,39,93,309,"Block Group 1, Census Tract 23, Chatham County, Georgia",57,13,13,41,23,29,13,33,24,51,65,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,493,509,546,569,630,840.9378526453512,705.329764107308,665.6966715052494,648.1426395344296,609.9671678065987,636.050106609808,75663,13,51,2300,1,130510023001,289995,0,32.0572216,-81.1084464,2190.60072686,289993.993076,0.111967306705,7510.56605175802,6299.426009823016,5945.455786117628,5788.677593559426,5447.725642036543,5680.677023745938,1,1,1,1,1,1
G13005100023002,2011-2015,Georgia,13,Chatham County,51,2300,2,"Block Group 2, Census Tract 23, Chatham County, Georgia",410,0,0,40,0,0,79,52,105,71,63,"Block Group 2, Census Tract 23, Chatham County, Georgia",65,13,13,32,13,13,45,32,45,34,38,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,291,370,370,370,410,171.45334859759586,416.33055041628126,483.9052425480201,439.2175396112435,396.639458854906,413.9373709682878,75664,13,51,2300,2,130510023002,331758,0,32.0581547,-81.1137639,2807.68651694,331756.582801,0.128091932747,1338.5179294330806,3250.248017090928,3777.7964011504346,3428.9242904840958,3096.521774234807,3231.5647214557503,1,1,1,1,1,1
G13005100026001,2011-2015,Georgia,13,Chatham County,51,2600,1,"Block Group 1, Census Tract 26, Chatham County, Georgia",327,0,0,6,18,11,3,10,84,69,126,"Block Group 1, Census Tract 26, Chatham County, Georgia",57,13,13,11,19,13,4,11,40,40,47,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,289,292,303,321,327,342.9066971951917,413.46917206290476,381.89278601086994,359.683552708667,344.1115305200671,330.1402934308052,75665,13,51,2600,1,130510026001,243556,0,32.0558968,-81.0924973,2000.9911663,243555.823524,0.0940374292006,3646.4916162659606,4396.857459606804,4061.0721630449816,3824.8977642869468,3659.3038904329333,3510.732867085851,1,1,1,1,1,1
G13005100026002,2011-2015,Georgia,13,Chatham County,51,2600,2,"Block Group 2, Census Tract 26, Chatham County, Georgia",414,0,0,0,3,4,15,0,73,55,264,"Block Group 2, Census Tract 26, Chatham County, Georgia",58,13,13,13,5,6,16,13,41,32,64,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,392,407,411,414,414,718.4711750756398,560.8301572617946,532.2957668028222,487.8875912978948,443.80739450251644,417.97578434358815,75666,13,51,2600,2,130510026002,235920,0,32.0523649,-81.0937799,2005.30635645,235920.80632,0.0910895325769,7887.527301439262,6156.911133431585,5843.654608211378,5356.132340299455,4872.210691473726,4588.625855454059,1,1,1,1,1,1
G13005100027001,2011-2015,Georgia,13,Chatham County,51,2700,1,"Block Group 1, Census Tract 27, Chatham County, Georgia",405,0,0,19,9,25,58,61,77,56,100,"Block Group 1, Census Tract 27, Chatham County, Georgia",90,13,13,22,14,40,50,57,52,50,63,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,294,352,377,386,405,272.1481723771363,420.622617946346,460.3639064240624,447.5270606309157,413.79143545403707,408.88935424916235,75667,13,51,2700,1,130510027001,254534,0,32.0542269,-81.0865294,2049.6108398,254533.47138,0.0982759227337,2769.2253077549926,4280.01697919555,4684.401770223197,4553.781314713143,4210.506744111627,4160.625948607341,1,1,1,1,1,1
G13005100027002,2011-2015,Georgia,13,Chatham County,51,2700,2,"Block Group 2, Census Tract 27, Chatham County, Georgia",445,0,0,0,8,0,0,78,91,157,111,"Block Group 2, Census Tract 27, Chatham County, Georgia",91,13,13,13,14,13,13,59,50,64,68,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,437,437,437,445,445,302.0844713386213,625.211170212766,571.5313270094184,518.7515265138201,477.03934916333293,449.273488002166,75668,13,51,2700,2,130510027002,236263,0,32.052776,-81.0806929,1945.66926667,236265.225395,0.0912225135252,3311.512253553189,6853.693743486391,6265.244235476303,5686.6611811843595,5229.4036935471195,4925.028599196133,1,1,1,1,1,1
G13005100027003,2011-2015,Georgia,13,Chatham County,51,2700,3,"Block Group 3, Census Tract 27, Chatham County, Georgia",312,0,0,12,0,9,10,17,9,44,211,"Block Group 3, Census Tract 27, Chatham County, Georgia",69,13,13,20,13,13,17,20,14,30,70,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,281,291,300,300,312,574.2326437157576,402.0236586493987,380.5849340039834,356.12232941452174,321.59956123370756,314.9962432734288,75669,13,51,2700,3,130510027003,232084,0,32.0507592,-81.0877542,2034.20046672,232085.101035,0.0896085584868,6408.234363019536,4486.442650549052,4247.194022879482,3974.199958444608,3588.9380061959323,3515.2472999532747,1,1,1,1,1,1
