GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,MSA_CMSAA,PMSAA,NECMAA,NAME,FKI001
G1800870,2000,2,3,Indiana,18,Lagrange,87,9999,9999,9999,LaGrange County,12938
G1800890,2000,2,3,Indiana,18,Lake,89,1602,2960,9999,Lake County,194992
G1800910,2000,2,3,Indiana,18,LaPorte,91,9999,9999,9999,LaPorte County,45621
G1800930,2000,2,3,Indiana,18,Lawrence,93,9999,9999,9999,Lawrence County,20560
G1800950,2000,2,3,Indiana,18,Madison,95,3480,9999,9999,Madison County,56939
G1800970,2000,2,3,Indiana,18,Marion,97,3480,9999,9999,Marion County,387183
G1800990,2000,2,3,Indiana,18,Marshall,99,9999,9999,9999,Marshall County,18099
G1801010,2000,2,3,Indiana,18,Martin,101,9999,9999,9999,Martin County,4729
G1801030,2000,2,3,Indiana,18,Miami,103,9999,9999,9999,Miami County,15299
G1801050,2000,2,3,Indiana,18,Monroe,105,1020,9999,9999,Monroe County,50846
G1801070,2000,2,3,Indiana,18,Montgomery,107,9999,9999,9999,Montgomery County,15678
G1801090,2000,2,3,Indiana,18,Morgan,109,3480,9999,9999,Morgan County,25908
G1801110,2000,2,3,Indiana,18,Newton,111,9999,9999,9999,Newton County,5726
G1801130,2000,2,3,Indiana,18,Noble,113,9999,9999,9999,Noble County,18233
G1801150,2000,2,3,Indiana,18,Ohio,115,1642,1640,9999,Ohio County,2424
G1801170,2000,2,3,Indiana,18,Orange,117,9999,9999,9999,Orange County,8348
G1801190,2000,2,3,Indiana,18,Owen,119,9999,9999,9999,Owen County,9853
G1801210,2000,2,3,Indiana,18,Parke,121,9999,9999,9999,Parke County,7539
G1801230,2000,2,3,Indiana,18,Perry,123,9999,9999,9999,Perry County,8223
G1801250,2000,2,3,Indiana,18,Pike,125,9999,9999,9999,Pike County,5611
G1801270,2000,2,3,Indiana,18,Porter,127,1602,2960,9999,Porter County,57616
G1801290,2000,2,3,Indiana,18,Posey,129,2440,9999,9999,Posey County,11076
G1801310,2000,2,3,Indiana,18,Pulaski,131,9999,9999,9999,Pulaski County,5918
G1801330,2000,2,3,Indiana,18,Putnam,133,9999,9999,9999,Putnam County,13505
G1801350,2000,2,3,Indiana,18,Randolph,135,9999,9999,9999,Randolph County,11775
