GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,CBV001
G0200900,1970,Alaska,2,Fairbanks North Star,90,Fairbanks,12520
G0201000,1970,Alaska,2,Haines,100,Haines,515
G0201100,1970,Alaska,2,Juneau,110,Juneau,4529
G0201200,1970,Alaska,2,Kenai-Cook Inlet,120,Kenai-Cook Inlet,4877
G0201300,1970,Alaska,2,Ketchikan Gateway,130,Ketchikan,3265
G0201400,1970,Alaska,2,Kobuk,140,Kobuk,990
G0201500,1970,Alaska,2,Kodiak Island,150,Kodiak,2539
G0201600,1970,Alaska,2,Kuskokwim,160,Kuskokwim,527
G0201700,1970,Alaska,2,Matanuska-Susitna,170,Matanuska-Susitna,4221
G0201800,1970,Alaska,2,Nome,180,Nome,1700
G0201900,1970,Alaska,2,Outer Ketchikan,190,Outer Ketchikan,398
G0202000,1970,Alaska,2,Prince Of Wales,200,Prince Of Wales,609
G0202100,1970,Alaska,2,Seward,210,Seward,1192
G0202200,1970,Alaska,2,Sitka,220,Sitka,1915
G0202300,1970,Alaska,2,Skagway-Yakutat,230,Skagway-Yakutat,715
G0202400,1970,Alaska,2,Southeast-Fairbanks,240,Southeast Fairbanks,1325
G0202500,1970,Alaska,2,Upper Yukon,250,Upper Yukon,483
G0202600,1970,Alaska,2,Valdez-Chitina-Whittier,260,Valdez-Chitina-Whittier,1442
G0202700,1970,Alaska,2,Wade Hampton,270,Wade Hampton,690
G0202800,1970,Alaska,2,Wrangell-Petersburg,280,Wrangell-Petersburg,1619
G0202900,1970,Alaska,2,Yukon-Koyukuk,290,Yukon-Koyukuk,1177
G0400010,1970,Arizona,4,Apache,1,Apache,9034
G0400030,1970,Arizona,4,Cochise,3,Cochise,19486
G0400050,1970,Arizona,4,Coconino,5,Coconino,14808
G0400070,1970,Arizona,4,Gila,7,Gila,11131
G0400090,1970,Arizona,4,Graham,9,Graham,4868
G0400110,1970,Arizona,4,Greenlee,11,Greenlee,3532
G0400130,1970,Arizona,4,Maricopa,13,Maricopa,318714
G0400150,1970,Arizona,4,Mohave,15,Mohave,10550
G0400170,1970,Arizona,4,Navajo,17,Navajo,13904
G0400190,1970,Arizona,4,Pima,19,Pima,118623
G0400210,1970,Arizona,4,Pinal,21,Pinal,19652
G0400230,1970,Arizona,4,Santa Cruz,23,Santa Cruz,4280
G0400250,1970,Arizona,4,Yavapai,25,Yavapai,16136
G0400270,1970,Arizona,4,Yuma,27,Yuma,19453
G0500010,1970,Arkansas,5,Arkansas,1,Arkansas,8174
G0500030,1970,Arkansas,5,Ashley,3,Ashley,8263
G0500050,1970,Arkansas,5,Baxter,5,Baxter,6509
G0500070,1970,Arkansas,5,Benton,7,Benton,18716
G0500090,1970,Arkansas,5,Boone,9,Boone,7275
G0500110,1970,Arkansas,5,Bradley,11,Bradley,4691
G0500130,1970,Arkansas,5,Calhoun,13,Calhoun,2003
G0500150,1970,Arkansas,5,Carroll,15,Carroll,5178
G0500170,1970,Arkansas,5,Chicot,17,Chicot,6154
G0500190,1970,Arkansas,5,Clark,19,Clark,7210
G0500210,1970,Arkansas,5,Clay,21,Clay,7085
G0500230,1970,Arkansas,5,Cleburne,23,Cleburne,4413
G0500250,1970,Arkansas,5,Cleveland,25,Cleveland,2367
G0500270,1970,Arkansas,5,Columbia,27,Columbia,8976
G0500290,1970,Arkansas,5,Conway,29,Conway,5812
G0500310,1970,Arkansas,5,Craighead,31,Craighead,17650
G0500330,1970,Arkansas,5,Crawford,33,Crawford,8824
G0500350,1970,Arkansas,5,Crittenden,35,Crittenden,14274
G0500370,1970,Arkansas,5,Cross,37,Cross,6034
G0500390,1970,Arkansas,5,Dallas,39,Dallas,3521
G0500410,1970,Arkansas,5,Desha,41,Desha,6308
G0500430,1970,Arkansas,5,Drew,43,Drew,5066
G0500450,1970,Arkansas,5,Faulkner,45,Faulkner,10148
G0500470,1970,Arkansas,5,Franklin,47,Franklin,4055
G0500490,1970,Arkansas,5,Fulton,49,Fulton,3056
G0500510,1970,Arkansas,5,Garland,51,Garland,23981
G0500530,1970,Arkansas,5,Grant,53,Grant,3343
G0500550,1970,Arkansas,5,Greene,55,Greene,8770
G0500570,1970,Arkansas,5,Hempstead,57,Hempstead,7122
G0500590,1970,Arkansas,5,Hot Spring,59,Hot Spring,7694
