GISJOIN,YEAR,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ESA001
G0500410,1990,Desha,41,,7,9999,,9999,3,Arkansas,5,,,,Desha County,6706
G0500430,1990,Drew,43,,7,9999,,9999,3,Arkansas,5,,,,Drew County,7159
G0500450,1990,Faulkner,45,,7,4400,,9999,3,Arkansas,5,,,,Faulkner County,23397
G0500470,1990,Franklin,47,,7,9999,,9999,3,Arkansas,5,,,,Franklin County,6228
G0500490,1990,Fulton,49,,7,9999,,9999,3,Arkansas,5,,,,Fulton County,4839
G0500510,1990,Garland,51,,7,9999,,9999,3,Arkansas,5,,,,Garland County,37966
G0500530,1990,Grant,53,,7,9999,,9999,3,Arkansas,5,,,,Grant County,5540
G0500550,1990,Greene,55,,7,9999,,9999,3,Arkansas,5,,,,Greene County,13216
G0500570,1990,Hempstead,57,,7,9999,,9999,3,Arkansas,5,,,,Hempstead County,9690
G0500590,1990,Hot Spring,59,,7,9999,,9999,3,Arkansas,5,,,,Hot Spring County,11378
G0500610,1990,Howard,61,,7,9999,,9999,3,Arkansas,5,,,,Howard County,5600
G0500630,1990,Independence,63,,7,9999,,9999,3,Arkansas,5,,,,Independence County,12838
G0500650,1990,Izard,65,,7,9999,,9999,3,Arkansas,5,,,,Izard County,5535
G0500670,1990,Jackson,67,,7,9999,,9999,3,Arkansas,5,,,,Jackson County,8086
G0500690,1990,Jefferson,69,,7,6240,,9999,3,Arkansas,5,,,,Jefferson County,33311
G0500710,1990,Johnson,71,,7,9999,,9999,3,Arkansas,5,,,,Johnson County,7984
G0500730,1990,Lafayette,73,,7,9999,,9999,3,Arkansas,5,,,,Lafayette County,4523
G0500750,1990,Lawrence,75,,7,9999,,9999,3,Arkansas,5,,,,Lawrence County,7692
G0500770,1990,Lee,77,,7,9999,,9999,3,Arkansas,5,,,,Lee County,5085
G0500790,1990,Lincoln,79,,7,9999,,9999,3,Arkansas,5,,,,Lincoln County,4295
G0500810,1990,Little River,81,,7,9999,,9999,3,Arkansas,5,,,,Little River County,6171
G0500830,1990,Logan,83,,7,9999,,9999,3,Arkansas,5,,,,Logan County,8539
G0500850,1990,Lonoke,85,,7,4400,,9999,3,Arkansas,5,,,,Lonoke County,15009
G0500870,1990,Madison,87,,7,9999,,9999,3,Arkansas,5,,,,Madison County,5182
G0500890,1990,Marion,89,,7,9999,,9999,3,Arkansas,5,,,,Marion County,6139
G0500910,1990,Miller,91,,7,8360,,9999,3,Arkansas,5,,,,Miller County,16172
G0500930,1990,Mississippi,93,,7,9999,,9999,3,Arkansas,5,,,,Mississippi County,22232
G0500950,1990,Monroe,95,,7,9999,,9999,3,Arkansas,5,,,,Monroe County,5063
G0500970,1990,Montgomery,97,,7,9999,,9999,3,Arkansas,5,,,,Montgomery County,4269
G0500990,1990,Nevada,99,,7,9999,,9999,3,Arkansas,5,,,,Nevada County,4287
G0501010,1990,Newton,101,,7,9999,,9999,3,Arkansas,5,,,,Newton County,3439
G0501030,1990,Ouachita,103,,7,9999,,9999,3,Arkansas,5,,,,Ouachita County,13204
G0501050,1990,Perry,105,,7,9999,,9999,3,Arkansas,5,,,,Perry County,3702
G0501070,1990,Phillips,107,,7,9999,,9999,3,Arkansas,5,,,,Phillips County,11094
G0501090,1990,Pike,109,,7,9999,,9999,3,Arkansas,5,,,,Pike County,4550
G0501110,1990,Poinsett,111,,7,9999,,9999,3,Arkansas,5,,,,Poinsett County,10271
G0501130,1990,Polk,113,,7,9999,,9999,3,Arkansas,5,,,,Polk County,7732
G0501150,1990,Pope,115,,7,9999,,9999,3,Arkansas,5,,,,Pope County,18430
G0501170,1990,Prairie,117,,7,9999,,9999,3,Arkansas,5,,,,Prairie County,4340
G0501190,1990,Pulaski,119,,7,4400,,9999,3,Arkansas,5,,,,Pulaski County,151538
G0501210,1990,Randolph,121,,7,9999,,9999,3,Arkansas,5,,,,Randolph County,7343
G0501230,1990,St Francis,123,,7,9999,,9999,3,Arkansas,5,,,,St. Francis County,10958
G0501250,1990,Saline,125,,7,4400,,9999,3,Arkansas,5,,,,Saline County,24602
G0501270,1990,Scott,127,,7,9999,,9999,3,Arkansas,5,,,,Scott County,4485
G0501290,1990,Searcy,129,,7,9999,,9999,3,Arkansas,5,,,,Searcy County,3739
G0501310,1990,Sebastian,131,,7,2720,,9999,3,Arkansas,5,,,,Sebastian County,43621
G0501330,1990,Sevier,133,,7,9999,,9999,3,Arkansas,5,,,,Sevier County,5880
G0501350,1990,Sharp,135,,7,9999,,9999,3,Arkansas,5,,,,Sharp County,7617
G0501370,1990,Stone,137,,7,9999,,9999,3,Arkansas,5,,,,Stone County,4548
G0501390,1990,Union,139,,7,9999,,9999,3,Arkansas,5,,,,Union County,20276
G0501410,1990,Van Buren,141,,7,9999,,9999,3,Arkansas,5,,,,Van Buren County,7580
G0501430,1990,Washington,143,,7,2580,,9999,3,Arkansas,5,,,,Washington County,47349
G0501450,1990,White,145,,7,9999,,9999,3,Arkansas,5,,,,White County,21658
G0501470,1990,Woodruff,147,,7,9999,,9999,3,Arkansas,5,,,,Woodruff County,4169
G0501490,1990,Yell,149,,7,9999,,9999,3,Arkansas,5,,,,Yell County,7868
G0600010,1990,Alameda,1,,9,7362,,5775,4,California,6,,,,Alameda County,504109
G0600030,1990,Alpine,3,,9,9999,,9999,4,California,6,,,,Alpine County,1319
G0600050,1990,Amador,5,,9,9999,,9999,4,California,6,,,,Amador County,12814
G0600070,1990,Butte,7,,9,1620,,9999,4,California,6,,,,Butte County,76115
G0600090,1990,Calaveras,9,,9,9999,,9999,4,California,6,,,,Calaveras County,19153
G0600110,1990,Colusa,11,,9,9999,,9999,4,California,6,,,,Colusa County,6295
G0600130,1990,Contra Costa,13,,9,7362,,5775,4,California,6,,,,Contra Costa County,316170
G0600150,1990,Del Norte,15,,9,9999,,9999,4,California,6,,,,Del Norte County,9091
G0600170,1990,El Dorado,17,,9,6920,,9999,4,California,6,,,,El Dorado County,61451
G0600190,1990,Fresno,19,,9,2840,,9999,4,California,6,,,,Fresno County,235563
G0600210,1990,Glenn,21,,9,9999,,9999,4,California,6,,,,Glenn County,9329
G0600230,1990,Humboldt,23,,9,9999,,9999,4,California,6,,,,Humboldt County,51134
G0600250,1990,Imperial,25,,9,9999,,9999,4,California,6,,,,Imperial County,36559
G0600270,1990,Inyo,27,,9,9999,,9999,4,California,6,,,,Inyo County,8712
G0600290,1990,Kern,29,,9,680,,9999,4,California,6,,,,Kern County,198636
G0600310,1990,Kings,31,,9,9999,,9999,4,California,6,,,,Kings County,30843
G0600330,1990,Lake,33,,9,9999,,9999,4,California,6,,,,Lake County,28822
G0600350,1990,Lassen,35,,9,9999,,9999,4,California,6,,,,Lassen County,10358
G0600370,1990,Los Angeles,37,,9,4472,,4480,4,California,6,,,,Los Angeles County,3163343
G0600390,1990,Madera,39,,9,9999,,9999,4,California,6,,,,Madera County,30831
G0600410,1990,Marin,41,,9,7362,,7360,4,California,6,,,,Marin County,99757
G0600430,1990,Mariposa,43,,9,9999,,9999,4,California,6,,,,Mariposa County,7700
G0600450,1990,Mendocino,45,,9,9999,,9999,4,California,6,,,,Mendocino County,33649
G0600470,1990,Merced,47,,9,4940,,9999,4,California,6,,,,Merced County,58410
G0600490,1990,Modoc,49,,9,9999,,9999,4,California,6,,,,Modoc County,4672
G0600510,1990,Mono,51,,9,9999,,9999,4,California,6,,,,Mono County,10664
G0600530,1990,Monterey,53,,9,7120,,9999,4,California,6,,,,Monterey County,121224
G0600550,1990,Napa,55,,9,7362,,8720,4,California,6,,,,Napa County,44199
G0600570,1990,Nevada,57,,9,9999,,9999,4,California,6,,,,Nevada County,37352
G0600590,1990,Orange,59,,9,4472,,360,4,California,6,,,,Orange County,875072
G0600610,1990,Placer,61,,9,6920,,9999,4,California,6,,,,Placer County,77879
G0600630,1990,Plumas,63,,9,9999,,9999,4,California,6,,,,Plumas County,11942
G0600650,1990,Riverside,65,,9,4472,,6780,4,California,6,,,,Riverside County,483847
G0600670,1990,Sacramento,67,,9,6920,,9999,4,California,6,,,,Sacramento County,417574
G0600690,1990,San Benito,69,,9,9999,,9999,4,California,6,,,,San Benito County,12230
G0600710,1990,San Bernardino,71,,9,4472,,6780,4,California,6,,,,San Bernardino County,542332
G0600730,1990,San Diego,73,,9,7320,,9999,4,California,6,,,,San Diego County,946240
G0600750,1990,San Francisco,75,,9,7362,,7360,4,California,6,,,,San Francisco County,328471
G0600770,1990,San Joaquin,77,,9,8120,,9999,4,California,6,,,,San Joaquin County,166274
G0600790,1990,San Luis Obispo,79,,9,9999,,9999,4,California,6,,,,San Luis Obispo County,90200
G0600810,1990,San Mateo,81,,9,7362,,7360,4,California,6,,,,San Mateo County,251782
G0600830,1990,Santa Barbara,83,,9,7480,,9999,4,California,6,,,,Santa Barbara County,138149
G0600850,1990,Santa Clara,85,,9,7362,,7400,4,California,6,,,,Santa Clara County,540240
G0600870,1990,Santa Cruz,87,,9,7362,,7485,4,California,6,,,,Santa Cruz County,91878
G0600890,1990,Shasta,89,,9,6690,,9999,4,California,6,,,,Shasta County,60552
G0600910,1990,Sierra,91,,9,9999,,9999,4,California,6,,,,Sierra County,2166
G0600930,1990,Siskiyou,93,,9,9999,,9999,4,California,6,,,,Siskiyou County,20141
G0600950,1990,Solano,95,,9,7362,,8720,4,California,6,,,,Solano County,119533
G0600970,1990,Sonoma,97,,9,7362,,7500,4,California,6,,,,Sonoma County,161062
G0600990,1990,Stanislaus,99,,9,5170,,9999,4,California,6,,,,Stanislaus County,132027
G0601010,1990,Sutter,101,,9,9340,,9999,4,California,6,,,,Sutter County,24163
G0601030,1990,Tehama,103,,9,9999,,9999,4,California,6,,,,Tehama County,20403
G0601050,1990,Trinity,105,,9,9999,,9999,4,California,6,,,,Trinity County,7540
G0601070,1990,Tulare,107,,9,8780,,9999,4,California,6,,,,Tulare County,105013
G0601090,1990,Tuolumne,109,,9,9999,,9999,4,California,6,,,,Tuolumne County,25175
G0601110,1990,Ventura,111,,9,4472,,6000,4,California,6,,,,Ventura County,228478
G0601130,1990,Yolo,113,,9,6920,,9999,4,California,6,,,,Yolo County,53000
G0601150,1990,Yuba,115,,9,9340,,9999,4,California,6,,,,Yuba County,21245
G0800010,1990,Adams,1,,8,2082,,2080,4,Colorado,8,,,,Adams County,106947
G0800030,1990,Alamosa,3,,8,9999,,9999,4,Colorado,8,,,,Alamosa County,5254
G0800050,1990,Arapahoe,5,,8,2082,,2080,4,Colorado,8,,,,Arapahoe County,168665
G0800070,1990,Archuleta,7,,8,9999,,9999,4,Colorado,8,,,,Archuleta County,3951
G0800090,1990,Baca,9,,8,9999,,9999,4,Colorado,8,,,,Baca County,2434
G0800110,1990,Bent,11,,8,9999,,9999,4,Colorado,8,,,,Bent County,2332
G0800130,1990,Boulder,13,,8,2082,,1125,4,Colorado,8,,,,Boulder County,94621
G0800150,1990,Chaffee,15,,8,9999,,9999,4,Colorado,8,,,,Chaffee County,6547
G0800170,1990,Cheyenne,17,,8,9999,,9999,4,Colorado,8,,,,Cheyenne County,1083
G0800190,1990,Clear Creek,19,,8,9999,,9999,4,Colorado,8,,,,Clear Creek County,4811
G0800210,1990,Conejos,21,,8,9999,,9999,4,Colorado,8,,,,Conejos County,3574
G0800230,1990,Costilla,23,,8,9999,,9999,4,Colorado,8,,,,Costilla County,1743
G0800250,1990,Crowley,25,,8,9999,,9999,4,Colorado,8,,,,Crowley County,1415
G0800270,1990,Custer,27,,8,9999,,9999,4,Colorado,8,,,,Custer County,2216
G0800290,1990,Delta,29,,8,9999,,9999,4,Colorado,8,,,,Delta County,10082
G0800310,1990,Denver,31,,8,2082,,2080,4,Colorado,8,,,,Denver County,239636
G0800330,1990,Dolores,33,,8,9999,,9999,4,Colorado,8,,,,Dolores County,947
G0800350,1990,Douglas,35,,8,2082,,2080,4,Colorado,8,,,,Douglas County,22291
G0800370,1990,Eagle,37,,8,9999,,9999,4,Colorado,8,,,,Eagle County,15226
G0800390,1990,Elbert,39,,8,9999,,9999,4,Colorado,8,,,,Elbert County,3997
G0800410,1990,El Paso,41,,8,1720,,9999,4,Colorado,8,,,,El Paso County,165056
G0800430,1990,Fremont,43,,8,9999,,9999,4,Colorado,8,,,,Fremont County,13683
G0800450,1990,Garfield,45,,8,9999,,9999,4,Colorado,8,,,,Garfield County,12517
G0800470,1990,Gilpin,47,,8,9999,,9999,4,Colorado,8,,,,Gilpin County,2438
G0800490,1990,Grand,49,,8,9999,,9999,4,Colorado,8,,,,Grand County,9985
G0800510,1990,Gunnison,51,,8,9999,,9999,4,Colorado,8,,,,Gunnison County,7294
G0800530,1990,Hinsdale,53,,8,9999,,9999,4,Colorado,8,,,,Hinsdale County,1254
G0800550,1990,Huerfano,55,,8,9999,,9999,4,Colorado,8,,,,Huerfano County,3913
G0800570,1990,Jackson,57,,8,9999,,9999,4,Colorado,8,,,,Jackson County,1326
G0800590,1990,Jefferson,59,,8,2082,,2080,4,Colorado,8,,,,Jefferson County,178611
G0800610,1990,Kiowa,61,,8,9999,,9999,4,Colorado,8,,,,Kiowa County,878
G0800630,1990,Kit Carson,63,,8,9999,,9999,4,Colorado,8,,,,Kit Carson County,3224
G0800650,1990,Lake,65,,8,9999,,9999,4,Colorado,8,,,,Lake County,3527
G0800670,1990,La Plata,67,,8,9999,,9999,4,Colorado,8,,,,La Plata County,15412
G0800690,1990,Larimer,69,,8,2670,,9999,4,Colorado,8,,,,Larimer County,77811
G0800710,1990,Las Animas,71,,8,9999,,9999,4,Colorado,8,,,,Las Animas County,6975
G0800730,1990,Lincoln,73,,8,9999,,9999,4,Colorado,8,,,,Lincoln County,2204
G0800750,1990,Logan,75,,8,9999,,9999,4,Colorado,8,,,,Logan County,7824
G0800770,1990,Mesa,77,,8,9999,,9999,4,Colorado,8,,,,Mesa County,39208
G0800790,1990,Mineral,79,,8,9999,,9999,4,Colorado,8,,,,Mineral County,1201
G0800810,1990,Moffat,81,,8,9999,,9999,4,Colorado,8,,,,Moffat County,5235
G0800830,1990,Montezuma,83,,8,9999,,9999,4,Colorado,8,,,,Montezuma County,8050
G0800850,1990,Montrose,85,,8,9999,,9999,4,Colorado,8,,,,Montrose County,10353
G0800870,1990,Morgan,87,,8,9999,,9999,4,Colorado,8,,,,Morgan County,9230
G0800890,1990,Otero,89,,8,9999,,9999,4,Colorado,8,,,,Otero County,8739
G0800910,1990,Ouray,91,,8,9999,,9999,4,Colorado,8,,,,Ouray County,1507
G0800930,1990,Park,93,,8,9999,,9999,4,Colorado,8,,,,Park County,7247
G0800950,1990,Phillips,95,,8,9999,,9999,4,Colorado,8,,,,Phillips County,1960
G0800970,1990,Pitkin,97,,8,9999,,9999,4,Colorado,8,,,,Pitkin County,9837
G0800990,1990,Prowers,99,,8,9999,,9999,4,Colorado,8,,,,Prowers County,5855
G0801010,1990,Pueblo,101,,8,6560,,9999,4,Colorado,8,,,,Pueblo County,50872
G0801030,1990,Rio Blanco,103,,8,9999,,9999,4,Colorado,8,,,,Rio Blanco County,2803
G0801050,1990,Rio Grande,105,,8,9999,,9999,4,Colorado,8,,,,Rio Grande County,5277
G0801070,1990,Routt,107,,8,9999,,9999,4,Colorado,8,,,,Routt County,9252
G0801090,1990,Saguache,109,,8,9999,,9999,4,Colorado,8,,,,Saguache County,2306
